"scientificNameID","acceptedNameUsageID","scientificName","acceptedNameUsage","class","order","family","genus","taxonomicStatus","AphiaID"
"urn:lsid:marinespecies.org:taxname:281305","urn:lsid:marinespecies.org:taxname:281305","Lepidopsetta bilineata","Lepidopsetta bilineata","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta","accepted",281305
"urn:lsid:marinespecies.org:taxname:281306","urn:lsid:marinespecies.org:taxname:281306","Lepidopsetta mochigarei","Lepidopsetta mochigarei","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta","accepted",281306
"urn:lsid:marinespecies.org:taxname:281307","urn:lsid:marinespecies.org:taxname:281307","Lepidopsetta polyxystra","Lepidopsetta polyxystra","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta","accepted",281307
"urn:lsid:marinespecies.org:taxname:281308","urn:lsid:marinespecies.org:taxname:281308","Lepidorhynchus denticulatus","Lepidorhynchus denticulatus","Actinopteri","Gadiformes","Macrouridae","Lepidorhynchus","accepted",281308
"urn:lsid:marinespecies.org:taxname:281309","urn:lsid:marinespecies.org:taxname:281309","Leptatherina presbyteroides","Leptatherina presbyteroides","Actinopteri","Atheriniformes","Atherinidae","Leptatherina","accepted",281309
"urn:lsid:marinespecies.org:taxname:281311","urn:lsid:marinespecies.org:taxname:281311","Leptenchelys vermiformis","Leptenchelys vermiformis","Actinopteri","Anguilliformes","Ophichthidae","Leptenchelys","accepted",281311
"urn:lsid:marinespecies.org:taxname:281313","urn:lsid:marinespecies.org:taxname:281313","Leptobrama muelleri","Leptobrama muelleri","Actinopteri","Carangaria incertae sedis","Leptobramidae","Leptobrama","accepted",281313
"urn:lsid:marinespecies.org:taxname:281314","urn:lsid:marinespecies.org:taxname:281314","Leptocephalus bellottii","Leptocephalus bellottii","Actinopteri","Anguilliformes","Nettastomatidae","Leptocephalus","accepted",281314
"urn:lsid:marinespecies.org:taxname:281316","urn:lsid:marinespecies.org:taxname:281316","Leptocephalus ophichthoides","Leptocephalus ophichthoides","Actinopteri","Anguilliformes","Ophichthidae","Leptocephalus","accepted",281316
"urn:lsid:marinespecies.org:taxname:281317","urn:lsid:marinespecies.org:taxname:281317","Leptoichthys fistularius","Leptoichthys fistularius","Actinopteri","Syngnathiformes","Syngnathidae","Leptoichthys","accepted",281317
